"site","station","transect","session","date","trap_type","culex","aedes","wyeomyia"
"BRY",600,800,"BRY 01","3/23/2002","co2",1,0,0
"BRY",500,0,"BRY 01","3/24/2002","co2",0,0,0
"BRY",900,0,"BRY 01","3/24/2002","co2",0,0,6
"BRY",400,200,"BRY 01","3/24/2002","co2",0,0,0
"BRY",500,200,"BRY 01","3/24/2002","co2",3,0,0
"BRY",700,200,"BRY 01","3/24/2002","co2",0,0,1
"BRY",200,400,"BRY 01","3/24/2002","co2",0,0,0
"BRY",400,400,"BRY 01","3/24/2002","co2",0,0,0
"BRY",900,400,"BRY 01","3/24/2002","co2",0,0,0
"BRY",200,600,"BRY 01","3/24/2002","co2",0,0,3
"BRY",300,600,"BRY 01","3/24/2002","co2",0,0,1
"BRY",500,600,"BRY 01","3/24/2002","co2",0,0,0
"BRY",800,600,"BRY 01","3/24/2002","co2",4,0,0
"BRY",300,800,"BRY 01","3/24/2002","co2",0,0,0
"BRY",500,800,"BRY 01","3/24/2002","co2",0,0,0
"BRY",600,800,"BRY 01","3/24/2002","co2",1,0,0
"BRY",500,0,"BRY 01","3/25/2002","co2",2,0,0
"BRY",600,0,"BRY 01","3/25/2002","co2",0,0,0
"BRY",900,0,"BRY 01","3/25/2002","co2",0,0,0
"BRY",400,200,"BRY 01","3/25/2002","co2",0,0,0
"BRY",500,200,"BRY 01","3/25/2002","co2",3,0,0
"BRY",700,200,"BRY 01","3/25/2002","co2",0,0,3
"BRY",200,400,"BRY 01","3/25/2002","co2",0,0,0
"BRY",400,400,"BRY 01","3/25/2002","co2",0,0,0
"BRY",900,400,"BRY 01","3/25/2002","co2",1,0,0
"BRY",200,600,"BRY 01","3/25/2002","co2",0,0,0
"BRY",300,600,"BRY 01","3/25/2002","co2",1,0,0
"BRY",600,600,"BRY 01","3/25/2002","co2",0,0,1
"BRY",800,600,"BRY 01","3/25/2002","co2",0,0,0
"BRY",300,800,"BRY 01","3/25/2002","co2",0,0,1
"BRY",500,800,"BRY 01","3/25/2002","co2",1,0,0
"BRY",600,800,"BRY 01","3/25/2002","co2",1,0,0
"BRY",500,0,"BRY 02","5/1/2002","co2",3,0,1
"BRY",600,0,"BRY 02","5/1/2002","co2",0,0,3
"BRY",700,0,"BRY 02","5/1/2002","co2",0,0,2
"BRY",900,0,"BRY 02","5/1/2002","co2",0,0,7
"BRY",100,200,"BRY 02","5/1/2002","co2",0,0,0
"BRY",500,200,"BRY 02","5/1/2002","co2",0,0,5
"BRY",600,200,"BRY 02","5/1/2002","co2",0,0,8
"BRY",100,400,"BRY 02","5/1/2002","co2",0,0,0
"BRY",800,400,"BRY 02","5/1/2002","co2",0,0,8
"BRY",900,400,"BRY 02","5/1/2002","co2",0,0,5
"BRY",300,600,"BRY 02","5/1/2002","co2",0,0,0
"BRY",600,600,"BRY 02","5/1/2002","co2",0,1,12
"BRY",700,600,"BRY 02","5/1/2002","co2",3,0,8
"BRY",900,600,"BRY 02","5/1/2002","co2",1,0,22
"BRY",300,800,"BRY 02","5/1/2002","co2",0,0,2
"BRY",700,800,"BRY 02","5/1/2002","co2",2,0,3
"BRY",800,800,"BRY 02","5/1/2002","co2",1,0,2
"BRY",900,800,"BRY 02","5/1/2002","co2",0,0,18
"BRY",500,0,"BRY 02","5/2/2002","co2",1,0,0
"BRY",600,0,"BRY 02","5/2/2002","co2",0,0,0
"BRY",700,0,"BRY 02","5/2/2002","co2",1,0,1
"BRY",900,0,"BRY 02","5/2/2002","co2",0,0,4
"BRY",100,200,"BRY 02","5/2/2002","co2",0,0,0
"BRY",500,200,"BRY 02","5/2/2002","co2",0,0,0
"BRY",600,200,"BRY 02","5/2/2002","co2",0,0,1
"BRY",100,400,"BRY 02","5/2/2002","co2",0,0,0
"BRY",800,400,"BRY 02","5/2/2002","co2",0,0,0
"BRY",900,400,"BRY 02","5/2/2002","co2",0,0,3
"BRY",300,600,"BRY 02","5/2/2002","co2",0,0,0
"BRY",600,600,"BRY 02","5/2/2002","co2",0,0,5
"BRY",700,600,"BRY 02","5/2/2002","co2",1,0,5
"BRY",900,600,"BRY 02","5/2/2002","co2",2,0,5
"BRY",300,800,"BRY 02","5/2/2002","co2",0,0,0
"BRY",700,800,"BRY 02","5/2/2002","co2",0,0,5
"BRY",800,800,"BRY 02","5/2/2002","co2",0,0,7
"BRY",900,800,"BRY 02","5/2/2002","co2",0,0,12
"BRY",500,0,"BRY 02","5/3/2002","co2",1,0,0
"BRY",600,0,"BRY 02","5/3/2002","co2",0,0,5
"BRY",700,0,"BRY 02","5/3/2002","co2",0,0,0
"BRY",900,0,"BRY 02","5/3/2002","co2",0,0,9
"BRY",100,200,"BRY 02","5/3/2002","co2",0,0,1
"BRY",500,200,"BRY 02","5/3/2002","co2",3,0,0
"BRY",600,200,"BRY 02","5/3/2002","co2",0,0,0
"BRY",100,400,"BRY 02","5/3/2002","co2",0,0,2
"BRY",800,400,"BRY 02","5/3/2002","co2",0,0,0
"BRY",900,400,"BRY 02","5/3/2002","co2",0,0,10
"BRY",300,600,"BRY 02","5/3/2002","co2",0,0,1
"BRY",600,600,"BRY 02","5/3/2002","co2",0,0,1
"BRY",700,600,"BRY 02","5/3/2002","co2",1,0,8
"BRY",900,600,"BRY 02","5/3/2002","co2",1,2,10
"BRY",300,800,"BRY 02","5/3/2002","co2",0,0,0
"BRY",700,800,"BRY 02","5/3/2002","co2",1,0,0
"BRY",800,800,"BRY 02","5/3/2002","co2",0,0,5
"BRY",900,800,"BRY 02","5/3/2002","co2",0,0,0
"BRY",500,0,"BRY 02","5/4/2002","co2",1,0,0
"BRY",600,0,"BRY 02","5/4/2002","co2",0,0,4
"BRY",700,0,"BRY 02","5/4/2002","co2",0,0,6
"BRY",900,0,"BRY 02","5/4/2002","co2",0,0,2
"BRY",100,200,"BRY 02","5/4/2002","co2",0,0,0
"BRY",500,200,"BRY 02","5/4/2002","co2",0,0,0
"BRY",600,200,"BRY 02","5/4/2002","co2",0,0,0
"BRY",100,400,"BRY 02","5/4/2002","co2",0,0,0
"BRY",800,400,"BRY 02","5/4/2002","co2",0,0,0
"BRY",900,400,"BRY 02","5/4/2002","co2",0,0,2
"BRY",300,600,"BRY 02","5/4/2002","co2",0,0,0
"BRY",600,600,"BRY 02","5/4/2002","co2",0,0,2
"BRY",700,600,"BRY 02","5/4/2002","co2",0,0,2
"BRY",900,600,"BRY 02","5/4/2002","co2",0,0,2
"BRY",300,800,"BRY 02","5/4/2002","co2",0,0,0
"BRY",700,800,"BRY 02","5/4/2002","co2",1,0,0
"BRY",500,0,"BRY 02","5/5/2002","co2",0,1,0
"BRY",600,0,"BRY 02","5/5/2002","co2",0,0,2
"BRY",700,0,"BRY 02","5/5/2002","co2",0,0,2
"BRY",900,0,"BRY 02","5/5/2002","co2",0,0,3
"BRY",500,200,"BRY 02","5/5/2002","co2",2,0,1
"BRY",600,200,"BRY 02","5/5/2002","co2",2,0,2
"BRY",100,400,"BRY 02","5/5/2002","co2",0,0,1
"BRY",800,400,"BRY 02","5/5/2002","co2",0,0,0
"BRY",900,400,"BRY 02","5/5/2002","co2",0,0,0
"BRY",300,600,"BRY 02","5/5/2002","co2",0,0,0
"BRY",600,600,"BRY 02","5/5/2002","co2",0,0,7
"BRY",700,600,"BRY 02","5/5/2002","co2",0,0,11
"BRY",900,600,"BRY 02","5/5/2002","co2",0,0,9
"BRY",300,800,"BRY 02","5/5/2002","co2",0,0,0
"BRY",700,800,"BRY 02","5/5/2002","co2",0,0,0
"BRY",800,800,"BRY 02","5/5/2002","co2",0,0,3
"BRY",900,800,"BRY 02","5/5/2002","co2",0,0,0
"BRY",500,0,"BRY 02","5/6/2002","co2",1,0,0
"BRY",600,0,"BRY 02","5/6/2002","co2",0,0,1
"BRY",700,0,"BRY 02","5/6/2002","co2",0,0,4
"BRY",900,0,"BRY 02","5/6/2002","co2",0,0,3
"BRY",100,200,"BRY 02","5/6/2002","co2",0,0,0
"BRY",500,200,"BRY 02","5/6/2002","co2",0,0,0
"BRY",600,200,"BRY 02","5/6/2002","co2",0,0,0
"BRY",100,400,"BRY 02","5/6/2002","co2",1,0,3
"BRY",800,400,"BRY 02","5/6/2002","co2",0,0,0
"BRY",300,600,"BRY 02","5/6/2002","co2",0,0,2
"BRY",600,600,"BRY 02","5/6/2002","co2",0,0,3
"BRY",700,600,"BRY 02","5/6/2002","co2",0,0,16
"BRY",900,600,"BRY 02","5/6/2002","co2",0,0,0
"BRY",300,800,"BRY 02","5/6/2002","co2",0,0,0
"BRY",700,800,"BRY 02","5/6/2002","co2",2,0,0
"BRY",800,800,"BRY 02","5/6/2002","co2",0,0,1
"BRY",900,800,"BRY 02","5/6/2002","co2",0,0,0
"BRY",500,0,"BRY 02","5/7/2002","co2",0,0,0
"BRY",600,0,"BRY 02","5/7/2002","co2",0,0,0
"BRY",700,0,"BRY 02","5/7/2002","co2",0,0,0
"BRY",800,0,"BRY 02","5/7/2002","co2",0,0,0
"BRY",100,200,"BRY 02","5/7/2002","co2",0,0,0
"BRY",500,200,"BRY 02","5/7/2002","co2",0,0,0
"BRY",600,200,"BRY 02","5/7/2002","co2",0,0,0
"BRY",100,400,"BRY 02","5/7/2002","co2",0,0,0
"BRY",900,400,"BRY 02","5/7/2002","co2",0,0,1
"BRY",300,600,"BRY 02","5/7/2002","co2",0,0,0
"BRY",600,600,"BRY 02","5/7/2002","co2",0,1,1
"BRY",700,600,"BRY 02","5/7/2002","co2",0,0,1
"BRY",300,800,"BRY 02","5/7/2002","co2",0,0,0
"BRY",700,800,"BRY 02","5/7/2002","co2",0,0,0
"BRY",800,800,"BRY 02","5/7/2002","co2",0,0,0
"BRY",900,800,"BRY 02","5/7/2002","co2",0,0,2
"BRY",100,0,"BRY 03","6/18/2002","co2",0,0,0
"BRY",200,0,"BRY 03","6/18/2002","co2",0,0,0
"BRY",400,0,"BRY 03","6/18/2002","co2",0,1,0
"BRY",600,0,"BRY 03","6/18/2002","co2",0,1,0
"BRY",900,0,"BRY 03","6/18/2002","co2",0,0,0
"BRY",100,200,"BRY 03","6/18/2002","co2",0,1,0
"BRY",200,200,"BRY 03","6/18/2002","co2",0,0,0
"BRY",300,200,"BRY 03","6/18/2002","co2",0,0,0
"BRY",700,200,"BRY 03","6/18/2002","co2",0,0,0
"BRY",900,200,"BRY 03","6/18/2002","co2",0,0,0
"BRY",200,400,"BRY 03","6/18/2002","co2",0,0,3
"BRY",700,400,"BRY 03","6/18/2002","co2",0,1,2
"BRY",900,400,"BRY 03","6/18/2002","co2",0,0,3
"BRY",100,600,"BRY 03","6/18/2002","co2",0,0,0
"BRY",400,600,"BRY 03","6/18/2002","co2",0,0,4
"BRY",700,600,"BRY 03","6/18/2002","co2",0,0,6
"BRY",900,600,"BRY 03","6/18/2002","co2",1,0,7
"BRY",100,800,"BRY 03","6/18/2002","co2",1,0,1
"BRY",200,800,"BRY 03","6/18/2002","co2",0,0,1
"BRY",500,800,"BRY 03","6/18/2002","co2",0,1,0
"BRY",800,800,"BRY 03","6/18/2002","co2",0,0,2
"BRY",900,800,"BRY 03","6/18/2002","co2",1,0,10
"BRY",100,0,"BRY 03","6/19/2002","co2",1,0,0
"BRY",200,0,"BRY 03","6/19/2002","co2",0,0,0
"BRY",400,0,"BRY 03","6/19/2002","co2",0,0,0
"BRY",600,0,"BRY 03","6/19/2002","co2",0,0,3
"BRY",900,0,"BRY 03","6/19/2002","co2",0,0,10
"BRY",100,200,"BRY 03","6/19/2002","co2",0,0,0
"BRY",200,200,"BRY 03","6/19/2002","co2",0,0,0
"BRY",300,200,"BRY 03","6/19/2002","co2",0,0,0
"BRY",900,200,"BRY 03","6/19/2002","co2",1,0,4
"BRY",200,400,"BRY 03","6/19/2002","co2",0,0,0
"BRY",300,400,"BRY 03","6/19/2002","co2",0,0,0
"BRY",700,400,"BRY 03","6/19/2002","co2",0,0,0
"BRY",900,400,"BRY 03","6/19/2002","co2",0,0,0
"BRY",100,600,"BRY 03","6/19/2002","co2",1,0,1
"BRY",700,600,"BRY 03","6/19/2002","co2",0,0,0
"BRY",900,600,"BRY 03","6/19/2002","co2",0,0,3
"BRY",100,800,"BRY 03","6/19/2002","co2",0,0,0
"BRY",200,800,"BRY 03","6/19/2002","co2",1,0,0
"BRY",500,800,"BRY 03","6/19/2002","co2",0,0,0
"BRY",800,800,"BRY 03","6/19/2002","co2",0,0,0
"BRY",900,800,"BRY 03","6/19/2002","co2",0,0,2
"BRY",100,0,"BRY 03","6/20/2002","co2",0,0,0
"BRY",200,0,"BRY 03","6/20/2002","co2",0,0,0
"BRY",400,0,"BRY 03","6/20/2002","co2",0,4,1
"BRY",600,0,"BRY 03","6/20/2002","co2",0,0,0
"BRY",900,0,"BRY 03","6/20/2002","co2",0,0,1
"BRY",100,200,"BRY 03","6/20/2002","co2",0,0,0
"BRY",200,200,"BRY 03","6/20/2002","co2",0,0,0
"BRY",300,200,"BRY 03","6/20/2002","co2",0,0,0
"BRY",700,200,"BRY 03","6/20/2002","co2",0,0,0
"BRY",900,200,"BRY 03","6/20/2002","co2",0,0,14
"BRY",200,400,"BRY 03","6/20/2002","co2",0,0,1
"BRY",300,400,"BRY 03","6/20/2002","co2",0,2,1
"BRY",700,400,"BRY 03","6/20/2002","co2",0,0,0
"BRY",900,400,"BRY 03","6/20/2002","co2",0,0,1
"BRY",100,600,"BRY 03","6/20/2002","co2",0,0,0
"BRY",400,600,"BRY 03","6/20/2002","co2",0,0,0
"BRY",700,600,"BRY 03","6/20/2002","co2",0,0,0
"BRY",900,600,"BRY 03","6/20/2002","co2",0,0,0
"BRY",200,800,"BRY 03","6/20/2002","co2",0,0,0
"BRY",300,800,"BRY 03","6/20/2002","co2",0,0,0
"BRY",500,800,"BRY 03","6/20/2002","co2",0,0,0
"BRY",800,800,"BRY 03","6/20/2002","co2",0,0,0
"BRY",900,800,"BRY 03","6/20/2002","co2",0,0,5
"BRY",100,0,"BRY 03","6/21/2002","co2",0,0,0
"BRY",200,0,"BRY 03","6/21/2002","co2",0,0,0
"BRY",400,0,"BRY 03","6/21/2002","co2",0,0,0
"BRY",600,0,"BRY 03","6/21/2002","co2",0,0,0
"BRY",900,0,"BRY 03","6/21/2002","co2",0,0,0
"BRY",100,200,"BRY 03","6/21/2002","co2",0,0,0
"BRY",300,200,"BRY 03","6/21/2002","co2",0,0,0
"BRY",900,200,"BRY 03","6/21/2002","co2",0,0,2
"BRY",200,400,"BRY 03","6/21/2002","co2",0,0,1
"BRY",300,400,"BRY 03","6/21/2002","co2",0,0,0
"BRY",700,400,"BRY 03","6/21/2002","co2",0,0,2
"BRY",900,400,"BRY 03","6/21/2002","co2",0,0,2
"BRY",100,600,"BRY 03","6/21/2002","co2",1,1,0
"BRY",400,600,"BRY 03","6/21/2002","co2",2,0,0
"BRY",700,600,"BRY 03","6/21/2002","co2",0,0,4
"BRY",900,600,"BRY 03","6/21/2002","co2",1,0,31
"BRY",200,800,"BRY 03","6/21/2002","co2",0,0,1
"BRY",300,800,"BRY 03","6/21/2002","co2",0,0,0
"BRY",500,800,"BRY 03","6/21/2002","co2",0,0,1
"BRY",800,800,"BRY 03","6/21/2002","co2",0,0,8
"BRY",900,800,"BRY 03","6/21/2002","co2",0,4,20
"BRY",100,0,"BRY 04","7/16/2002","co2",0,0,0
"BRY",200,0,"BRY 04","7/16/2002","co2",0,0,0
"BRY",300,0,"BRY 04","7/16/2002","co2",2,0,4
"BRY",500,0,"BRY 04","7/16/2002","co2",0,0,4
"BRY",900,0,"BRY 04","7/16/2002","co2",0,1,8
"BRY",200,200,"BRY 04","7/16/2002","co2",0,0,0
"BRY",300,200,"BRY 04","7/16/2002","co2",0,0,0
"BRY",500,200,"BRY 04","7/16/2002","co2",0,0,0
"BRY",900,200,"BRY 04","7/16/2002","co2",0,2,5
"BRY",300,400,"BRY 04","7/16/2002","co2",0,1,0
"BRY",500,400,"BRY 04","7/16/2002","co2",0,0,3
"BRY",600,400,"BRY 04","7/16/2002","co2",0,0,5
"BRY",300,600,"BRY 04","7/16/2002","co2",0,0,0
"BRY",400,600,"BRY 04","7/16/2002","co2",0,0,0
"BRY",500,600,"BRY 04","7/16/2002","co2",0,0,20
"BRY",900,600,"BRY 04","7/16/2002","co2",0,0,21
"BRY",200,800,"BRY 04","7/16/2002","co2",0,0,0
"BRY",400,800,"BRY 04","7/16/2002","co2",0,0,0
"BRY",500,800,"BRY 04","7/16/2002","co2",0,0,0
"BRY",700,800,"BRY 04","7/16/2002","co2",0,0,0
"BRY",800,800,"BRY 04","7/16/2002","co2",0,0,0
"BRY",100,0,"BRY 04","7/17/2002","co2",0,2,0
"BRY",200,0,"BRY 04","7/17/2002","co2",0,0,0
"BRY",300,0,"BRY 04","7/17/2002","co2",0,1,1
"BRY",500,0,"BRY 04","7/17/2002","co2",0,1,2
"BRY",900,0,"BRY 04","7/17/2002","co2",0,0,5
"BRY",200,200,"BRY 04","7/17/2002","co2",0,0,0
"BRY",300,200,"BRY 04","7/17/2002","co2",0,0,0
"BRY",500,200,"BRY 04","7/17/2002","co2",0,0,0
"BRY",900,200,"BRY 04","7/17/2002","co2",0,0,2
"BRY",200,400,"BRY 04","7/17/2002","co2",0,0,1
"BRY",300,400,"BRY 04","7/17/2002","co2",0,2,2
"BRY",500,400,"BRY 04","7/17/2002","co2",0,0,0
"BRY",600,400,"BRY 04","7/17/2002","co2",0,0,0
"BRY",300,600,"BRY 04","7/17/2002","co2",1,0,0
"BRY",400,600,"BRY 04","7/17/2002","co2",0,1,0
"BRY",500,600,"BRY 04","7/17/2002","co2",0,0,2
"BRY",900,600,"BRY 04","7/17/2002","co2",0,0,4
"BRY",200,800,"BRY 04","7/17/2002","co2",0,0,0
"BRY",400,800,"BRY 04","7/17/2002","co2",0,0,0
"BRY",500,800,"BRY 04","7/17/2002","co2",0,0,0
"BRY",700,800,"BRY 04","7/17/2002","co2",0,0,1
"BRY",800,800,"BRY 04","7/17/2002","co2",0,0,3
"BRY",100,0,"BRY 04","7/18/2002","co2",0,0,0
"BRY",200,0,"BRY 04","7/18/2002","co2",1,0,0
"BRY",300,0,"BRY 04","7/18/2002","co2",0,0,0
"BRY",500,0,"BRY 04","7/18/2002","co2",0,2,13
"BRY",900,0,"BRY 04","7/18/2002","co2",0,0,8
"BRY",200,200,"BRY 04","7/18/2002","co2",1,1,0
"BRY",300,200,"BRY 04","7/18/2002","co2",0,0,0
"BRY",500,200,"BRY 04","7/18/2002","co2",0,0,0
"BRY",900,200,"BRY 04","7/18/2002","co2",0,0,1
"BRY",200,400,"BRY 04","7/18/2002","co2",0,0,0
"BRY",300,400,"BRY 04","7/18/2002","co2",0,0,0
"BRY",500,400,"BRY 04","7/18/2002","co2",0,0,6
"BRY",600,400,"BRY 04","7/18/2002","co2",0,0,0
"BRY",300,600,"BRY 04","7/18/2002","co2",0,0,0
"BRY",400,600,"BRY 04","7/18/2002","co2",0,0,0
"BRY",500,600,"BRY 04","7/18/2002","co2",0,0,2
"BRY",900,600,"BRY 04","7/18/2002","co2",0,0,17
"BRY",200,800,"BRY 04","7/18/2002","co2",0,0,0
"BRY",400,800,"BRY 04","7/18/2002","co2",0,0,1
"BRY",500,800,"BRY 04","7/18/2002","co2",0,0,0
"BRY",700,800,"BRY 04","7/18/2002","co2",0,0,1
"BRY",800,800,"BRY 04","7/18/2002","co2",0,0,9
"BRY",100,0,"BRY 04","7/19/2002","co2",0,0,0
"BRY",200,0,"BRY 04","7/19/2002","co2",0,0,0
"BRY",300,0,"BRY 04","7/19/2002","co2",1,0,0
"BRY",500,0,"BRY 04","7/19/2002","co2",0,0,13
"BRY",900,0,"BRY 04","7/19/2002","co2",0,0,4
"BRY",200,200,"BRY 04","7/19/2002","co2",0,0,0
"BRY",300,200,"BRY 04","7/19/2002","co2",1,0,0
"BRY",500,200,"BRY 04","7/19/2002","co2",0,0,0
"BRY",900,200,"BRY 04","7/19/2002","co2",0,0,1
"BRY",200,400,"BRY 04","7/19/2002","co2",1,0,1
"BRY",300,400,"BRY 04","7/19/2002","co2",0,1,1
"BRY",500,400,"BRY 04","7/19/2002","co2",0,0,0
"BRY",600,400,"BRY 04","7/19/2002","co2",0,0,1
"BRY",300,600,"BRY 04","7/19/2002","co2",1,0,0
"BRY",400,600,"BRY 04","7/19/2002","co2",0,0,1
"BRY",500,600,"BRY 04","7/19/2002","co2",0,0,10
"BRY",900,600,"BRY 04","7/19/2002","co2",0,0,10
"BRY",200,800,"BRY 04","7/19/2002","co2",0,0,0
"BRY",400,800,"BRY 04","7/19/2002","co2",0,0,0
"BRY",500,800,"BRY 04","7/19/2002","co2",0,0,0
"BRY",700,800,"BRY 04","7/19/2002","co2",0,0,0
"BRY",800,800,"BRY 04","7/19/2002","co2",0,1,4
"BRY",200,0,"BRY 05","8/12/2002","co2",0,1,4
"BRY",300,0,"BRY 05","8/12/2002","co2",0,4,0
"BRY",500,0,"BRY 05","8/12/2002","co2",0,1,17
"BRY",600,0,"BRY 05","8/12/2002","co2",0,0,11
"BRY",700,0,"BRY 05","8/12/2002","co2",0,0,4
"BRY",100,200,"BRY 05","8/12/2002","co2",0,0,0
"BRY",200,200,"BRY 05","8/12/2002","co2",0,0,0
"BRY",400,200,"BRY 05","8/12/2002","co2",0,0,6
"BRY",400,200,"BRY 05","8/12/2002","co2",0,2,0
"BRY",500,200,"BRY 05","8/12/2002","co2",0,0,4
"BRY",300,400,"BRY 05","8/12/2002","co2",0,0,0
"BRY",400,400,"BRY 05","8/12/2002","co2",0,0,0
"BRY",600,400,"BRY 05","8/12/2002","co2",0,0,0
"BRY",700,400,"BRY 05","8/12/2002","co2",0,0,1
"BRY",800,400,"BRY 05","8/12/2002","co2",0,8,0
"BRY",100,600,"BRY 05","8/12/2002","co2",0,0,0
"BRY",200,600,"BRY 05","8/12/2002","co2",0,0,1
"BRY",300,600,"BRY 05","8/12/2002","co2",0,0,1
"BRY",400,600,"BRY 05","8/12/2002","co2",0,0,1
"BRY",800,600,"BRY 05","8/12/2002","co2",1,0,1
"BRY",200,800,"BRY 05","8/12/2002","co2",0,0,2
"BRY",200,800,"BRY 05","8/12/2002","co2",0,0,0
"BRY",500,800,"BRY 05","8/12/2002","co2",0,0,1
"BRY",600,800,"BRY 05","8/12/2002","co2",0,0,0
"BRY",800,800,"BRY 05","8/12/2002","co2",0,0,0
"BRY",900,800,"BRY 05","8/12/2002","co2",0,0,31
"BRY",200,0,"BRY 05","8/13/2002","co2",0,1,1
"BRY",300,0,"BRY 05","8/13/2002","co2",0,0,0
"BRY",500,0,"BRY 05","8/13/2002","co2",0,0,6
"BRY",600,0,"BRY 05","8/13/2002","co2",0,0,0
"BRY",700,0,"BRY 05","8/13/2002","co2",0,0,0
"BRY",100,200,"BRY 05","8/13/2002","co2",0,0,0
"BRY",200,200,"BRY 05","8/13/2002","co2",0,0,0
"BRY",400,200,"BRY 05","8/13/2002","co2",0,0,1
"BRY",500,200,"BRY 05","8/13/2002","co2",0,0,0
"BRY",900,200,"BRY 05","8/13/2002","co2",0,0,0
"BRY",300,400,"BRY 05","8/13/2002","co2",0,0,0
"BRY",400,400,"BRY 05","8/13/2002","co2",0,1,3
"BRY",600,400,"BRY 05","8/13/2002","co2",0,0,0
"BRY",700,400,"BRY 05","8/13/2002","co2",0,0,0
"BRY",800,400,"BRY 05","8/13/2002","co2",0,0,3
"BRY",100,600,"BRY 05","8/13/2002","co2",0,0,0
"BRY",200,600,"BRY 05","8/13/2002","co2",0,0,0
"BRY",300,600,"BRY 05","8/13/2002","co2",0,0,1
"BRY",400,600,"BRY 05","8/13/2002","co2",0,0,3
"BRY",800,600,"BRY 05","8/13/2002","co2",0,0,0
"BRY",200,800,"BRY 05","8/13/2002","co2",0,0,0
"BRY",500,800,"BRY 05","8/13/2002","co2",0,0,0
"BRY",600,800,"BRY 05","8/13/2002","co2",0,0,0
"BRY",800,800,"BRY 05","8/13/2002","co2",0,0,3
"BRY",900,800,"BRY 05","8/13/2002","co2",0,0,32
"BRY",200,0,"BRY 05","8/14/2002","co2",0,0,0
"BRY",300,0,"BRY 05","8/14/2002","co2",0,11,1
