site,location,trap_type,transect,station,year,month,season,rainfall_season,x_long,y_lat,count,Cxpa,elevation,distance,precip,preciplag1,preciplag2,preciplag3,tmean,tmeanlag1,tmeanlag2,tmeanlag3,tmax,tmaxlag1,tmaxlag2,tmaxlag3,tmin,tminlag1,tminlag2,tminlag3
BRY,s45,co2,800,900,2002,5,spring,dry,-154.9264148,19.45408263,0,0,274.59,117.03,308,180,312,365,21.23,20.8,19.22,18.05,25.08,24.95,23.25,21.77,17.37,16.64,15.18,14.33
BRY,s1,co2,0,100,2002,6,summer,dry,-154.933909,19.44681241,1,1,314.62,321.5,176,290,178,313,21.77,21.02,20.58,18.99,26.48,24.94,24.81,23.08,17.05,17.1,16.34,14.89
BRY,s2,co2,0,200,2002,6,summer,dry,-154.9339391,19.44771195,0,0,311.92,312.67,178,294,179,315,21.78,21.03,20.59,19,26.48,24.94,24.81,23.08,17.07,17.11,16.37,14.91
BRY,s4,co2,0,400,2002,6,summer,dry,-154.9339791,19.44951145,0,0,309.46,303.99,178,294,179,315,21.78,21.03,20.59,19,26.48,24.94,24.81,23.09,17.07,17.12,16.37,14.91
BRY,s6,co2,0,600,2002,6,summer,dry,-154.934019,19.45131096,0,0,308.17,173.68,181,298,180,317,21.78,21.03,20.6,19.01,26.47,24.94,24.81,23.09,17.08,17.12,16.38,14.92
BRY,s9,co2,0,900,2002,6,summer,dry,-154.9340034,19.4539657,0,0,296.9,169.66,183,302,181,318,21.8,21.06,20.62,19.04,26.47,24.95,24.82,23.11,17.12,17.16,16.41,14.96
BRY,s10,co2,200,100,2002,6,summer,dry,-154.9320614,19.44679597,0,0,303.58,515.83,177,291,177,312,21.84,21.09,20.65,19.06,26.53,24.99,24.86,23.13,17.14,17.18,16.43,14.98
BRY,s11,co2,200,200,2002,6,summer,dry,-154.9320334,19.44769557,0,0,302.1,513.52,179,296,179,314,21.85,21.1,20.67,19.07,26.52,24.99,24.87,23.14,17.17,17.2,16.46,15
BRY,s12,co2,200,300,2002,6,summer,dry,-154.9320062,19.44856707,0,0,298.52,519.83,179,296,179,314,21.85,21.1,20.67,19.07,26.52,24.99,24.87,23.14,17.17,17.2,16.46,15
BRY,s16,co2,200,700,2002,6,summer,dry,-154.9320967,19.45218842,0,0,299.2,363.31,184,303,181,317,21.85,21.11,20.67,19.09,26.5,24.99,24.86,23.15,17.19,17.22,16.48,15.03
BRY,s18,co2,200,900,2002,6,summer,dry,-154.9321566,19.45403056,1,1,291,175.68,184,303,181,317,21.85,21.11,20.67,19.09,26.51,24.99,24.86,23.15,17.19,17.22,16.48,15.03
BRY,s20,co2,400,200,2002,6,summer,dry,-154.9301249,19.44772565,0,0,299.07,714.58,180,297,178,312,21.87,21.12,20.69,19.1,26.54,25.01,24.88,23.16,17.2,17.23,16.49,15.03
BRY,s21,co2,400,300,2002,6,summer,dry,-154.930141,19.44866823,0,0,294.63,670.46,180,297,178,312,21.87,21.12,20.69,19.1,26.54,25.01,24.89,23.16,17.2,17.23,16.49,15.03
BRY,s25,co2,400,700,2002,6,summer,dry,-154.9301545,19.45222718,0,0,291.05,340.93,185,305,181,315,21.88,21.14,20.71,19.13,26.53,25.01,24.89,23.18,17.23,17.26,16.53,15.07
BRY,s27,co2,400,900,2002,6,summer,dry,-154.9301762,19.45406069,0,0,286.42,137.52,185,305,181,315,21.89,21.15,20.71,19.13,26.53,25.02,24.89,23.18,17.24,17.27,16.53,15.07
BRY,s28,co2,600,100,2002,6,summer,dry,-154.9282531,19.44685457,2,1,281.32,642.94,178,294,177,309,22,21.25,20.82,19.22,26.64,25.11,24.99,23.26,17.35,17.38,16.64,15.18
BRY,s31,co2,600,400,2002,6,summer,dry,-154.9282039,19.44955224,2,1,280.37,628.48,181,298,178,311,21.92,21.17,20.74,19.15,26.58,25.05,24.92,23.2,17.26,17.29,16.55,15.09
BRY,s34,co2,600,700,2002,6,summer,dry,-154.9282784,19.45222004,0,0,279.66,332.72,186,306,180,314,21.94,21.2,20.77,19.19,26.57,25.06,24.93,23.22,17.31,17.34,16.6,15.15
BRY,s36,co2,600,900,2002,6,summer,dry,-154.9282527,19.45407213,2,1,278,127.02,186,306,180,314,21.94,21.2,20.77,19.19,26.57,25.06,24.93,23.22,17.31,17.34,16.6,15.15
BRY,s37,co2,800,100,2002,6,summer,dry,-154.9263041,19.44686906,1,1,265.39,489.92,179,295,176,307,22.07,21.32,20.89,19.3,26.69,25.16,25.05,23.32,17.45,17.47,16.73,15.28
BRY,s38,co2,800,200,2002,6,summer,dry,-154.9263179,19.44776895,1,1,275.91,569.69,182,300,178,309,22,21.26,20.83,19.24,26.63,25.11,24.99,23.27,17.37,17.4,16.66,15.2
BRY,s39,co2,800,300,2002,6,summer,dry,-154.9263322,19.4486997,0,0,275.39,639.85,182,300,178,309,22,21.26,20.83,19.24,26.63,25.11,24.99,23.27,17.37,17.4,16.66,15.2
BRY,s41,co2,800,500,2002,6,summer,dry,-154.9263725,19.45049689,0,0,273.45,514.84,185,304,179,310,21.99,21.24,20.81,19.22,26.61,25.09,24.97,23.25,17.36,17.38,16.65,15.19
BRY,s44,co2,800,800,2002,6,summer,dry,-154.9263703,19.45316688,0,0,275.08,218.46,187,308,180,312,21.97,21.23,20.8,19.22,26.59,25.08,24.95,23.25,17.35,17.37,16.64,15.18
BRY,s45,co2,800,900,2002,6,summer,dry,-154.9264148,19.45408263,1,1,274.59,117.03,187,308,180,312,21.97,21.23,20.8,19.22,26.59,25.08,24.95,23.25,17.35,17.37,16.64,15.18
BRY,s1,co2,0,100,2002,7,summer,dry,-154.933909,19.44681241,0,0,314.62,321.5,142,176,290,178,22.15,21.77,21.02,20.58,25.97,26.48,24.94,24.81,18.33,17.05,17.1,16.34
BRY,s2,co2,0,200,2002,7,summer,dry,-154.9339391,19.44771195,1,1,311.92,312.67,144,178,294,179,22.16,21.78,21.03,20.59,25.96,26.48,24.94,24.81,18.35,17.07,17.11,16.37
BRY,s3,co2,0,300,2002,7,summer,dry,-154.933968,19.44857326,3,1,309.54,321.22,144,178,294,179,22.16,21.78,21.03,20.59,25.96,26.48,24.94,24.81,18.35,17.07,17.12,16.37
BRY,s5,co2,0,500,2002,7,summer,dry,-154.9339901,19.45043386,0,0,309.16,225.5,146,181,298,180,22.16,21.77,21.03,20.6,25.95,26.46,24.94,24.81,18.36,17.08,17.12,16.38
BRY,s9,co2,0,900,2002,7,summer,dry,-154.9340034,19.4539657,0,0,296.9,169.66,148,183,302,181,22.17,21.8,21.06,20.62,25.95,26.47,24.95,24.82,18.39,17.12,17.16,16.41
BRY,s11,co2,200,200,2002,7,summer,dry,-154.9320334,19.44769557,1,1,302.1,513.52,144,179,296,179,22.23,21.85,21.1,20.67,26.01,26.52,24.99,24.87,18.44,17.17,17.2,16.46
BRY,s12,co2,200,300,2002,7,summer,dry,-154.9320062,19.44856707,1,1,298.52,519.83,144,179,296,179,22.23,21.85,21.1,20.67,26.01,26.52,24.99,24.87,18.44,17.17,17.2,16.46
BRY,s14,co2,200,500,2002,7,summer,dry,-154.9320946,19.45039987,0,0,301.2,399.15,145,182,300,180,22.2,21.82,21.08,20.64,25.98,26.5,24.97,24.84,18.41,17.14,17.18,16.44
BRY,s18,co2,200,900,2002,7,summer,dry,-154.9321566,19.45403056,0,0,291,175.68,147,184,303,181,22.23,21.85,21.11,20.67,25.99,26.51,24.99,24.86,18.46,17.19,17.22,16.48
BRY,s20,co2,400,200,2002,7,summer,dry,-154.9301249,19.44772565,1,1,299.07,714.58,143,180,297,178,22.25,21.87,21.12,20.69,26.03,26.54,25.01,24.88,18.47,17.2,17.23,16.49
BRY,s21,co2,400,300,2002,7,summer,dry,-154.930141,19.44866823,0,0,294.63,670.46,143,180,297,178,22.25,21.87,21.12,20.69,26.03,26.54,25.01,24.89,18.47,17.2,17.23,16.49
BRY,s23,co2,400,500,2002,7,summer,dry,-154.9301332,19.45042979,0,0,293.16,540.33,145,183,301,180,22.25,21.87,21.13,20.69,26.02,26.53,25.01,24.88,18.48,17.21,17.24,16.5
BRY,s24,co2,400,600,2002,7,summer,dry,-154.9301438,19.45132542,0,0,292.91,440.97,145,183,301,180,22.25,21.87,21.13,20.69,26.02,26.53,25.01,24.88,18.48,17.21,17.25,16.5
BRY,s30,co2,600,300,2002,7,summer,dry,-154.9281699,19.44868017,2,1,286.94,725.11,143,181,298,178,22.3,21.92,21.17,20.74,26.06,26.58,25.05,24.92,18.53,17.26,17.29,16.55
BRY,s31,co2,600,400,2002,7,summer,dry,-154.9282039,19.44955224,0,0,280.37,628.48,143,181,298,178,22.3,21.92,21.17,20.74,26.06,26.58,25.05,24.92,18.53,17.26,17.29,16.55
BRY,s32,co2,600,500,2002,7,summer,dry,-154.9282382,19.45043189,0,0,279.56,531,145,184,303,179,22.33,21.96,21.21,20.78,26.07,26.59,25.07,24.95,18.59,17.32,17.35,16.61
BRY,s36,co2,600,900,2002,7,summer,dry,-154.9282527,19.45407213,0,0,278,127.02,147,186,306,180,22.32,21.94,21.2,20.77,26.05,26.57,25.06,24.93,18.58,17.31,17.34,16.6
BRY,s38,co2,800,200,2002,7,summer,dry,-154.9263179,19.44776895,0,0,275.91,569.69,143,182,300,178,22.39,22,21.26,20.83,26.12,26.63,25.11,24.99,18.65,17.37,17.4,16.66
BRY,s40,co2,800,400,2002,7,summer,dry,-154.9263517,19.44956863,0,0,273.04,596.38,143,182,300,178,22.39,22,21.26,20.83,26.12,26.63,25.11,24.99,18.65,17.37,17.4,16.66
BRY,s41,co2,800,500,2002,7,summer,dry,-154.9263725,19.45049689,0,0,273.45,514.84,145,185,304,179,22.36,21.99,21.24,20.81,26.09,26.61,25.09,24.97,18.63,17.36,17.38,16.65
BRY,s43,co2,800,700,2002,7,summer,dry,-154.9263267,19.45226789,0,0,273.86,318.04,146,187,308,180,22.35,21.97,21.23,20.8,26.07,26.59,25.08,24.95,18.62,17.35,17.37,16.64
BRY,s44,co2,800,800,2002,7,summer,dry,-154.9263703,19.45316688,0,0,275.08,218.46,146,187,308,180,22.35,21.97,21.23,20.8,26.07,26.59,25.08,24.95,18.62,17.35,17.37,16.64
BRY,s2,co2,0,200,2002,8,summer,dry,-154.9339391,19.44771195,0,0,311.92,312.67,308,144,178,294,22.59,22.16,21.78,21.03,26.83,25.96,26.48,24.94,18.34,18.35,17.07,17.11
BRY,s3,co2,0,300,2002,8,summer,dry,-154.933968,19.44857326,0,0,309.54,321.22,308,144,178,294,22.59,22.16,21.78,21.03,26.83,25.96,26.48,24.94,18.34,18.35,17.07,17.12
BRY,s5,co2,0,500,2002,8,summer,dry,-154.9339901,19.45043386,0,0,309.16,225.5,311,146,181,298,22.59,22.16,21.77,21.03,26.82,25.95,26.46,24.94,18.35,18.36,17.08,17.12
BRY,s6,co2,0,600,2002,8,summer,dry,-154.934019,19.45131096,0,0,308.17,173.68,311,146,181,298,22.59,22.16,21.78,21.03,26.82,25.95,26.47,24.94,18.35,18.36,17.08,17.12
BRY,s7,co2,0,700,2002,8,summer,dry,-154.9340494,19.45223084,1,1,305.79,157.81,314,148,183,302,22.61,22.17,21.8,21.06,26.82,25.95,26.47,24.95,18.39,18.39,17.12,17.16
BRY,s10,co2,200,100,2002,8,summer,dry,-154.9320614,19.44679597,1,1,303.58,515.83,305,142,177,291,22.65,22.22,21.84,21.09,26.88,26.02,26.53,24.99,18.41,18.42,17.14,17.18
BRY,s11,co2,200,200,2002,8,summer,dry,-154.9320334,19.44769557,0,0,302.1,513.52,308,144,179,296,22.66,22.23,21.85,21.1,26.88,26.01,26.52,24.99,18.44,18.44,17.17,17.2
BRY,s13,co2,200,400,2002,8,summer,dry,-154.9320509,19.44949421,0,0,299.34,451.37,308,144,179,296,22.66,22.23,21.85,21.1,26.88,26.01,26.52,24.99,18.44,18.44,17.17,17.2
BRY,s14,co2,200,500,2002,8,summer,dry,-154.9320946,19.45039987,0,0,301.2,399.15,311,145,182,300,22.63,22.2,21.82,21.08,26.85,25.98,26.5,24.97,18.41,18.41,17.14,17.18
BRY,s18,co2,200,900,2002,8,summer,dry,-154.9321566,19.45403056,0,0,291,175.68,314,147,184,303,22.66,22.23,21.85,21.11,26.86,25.99,26.51,24.99,18.46,18.46,17.19,17.22
BRY,s21,co2,400,300,2002,8,summer,dry,-154.930141,19.44866823,10,1,294.63,670.46,308,143,180,297,22.68,22.25,21.87,21.12,26.89,26.03,26.54,25.01,18.47,18.47,17.2,17.23
BRY,s22,co2,400,400,2002,8,summer,dry,-154.9301372,19.44952551,1,1,292.15,627.04,308,143,180,297,22.68,22.25,21.88,21.12,26.89,26.03,26.55,25.01,18.47,18.47,17.2,17.23
BRY,s24,co2,400,600,2002,8,summer,dry,-154.9301438,19.45132542,0,0,292.91,440.97,311,145,183,301,22.68,22.25,21.87,21.13,26.88,26.02,26.53,25.01,18.48,18.48,17.21,17.25
BRY,s25,co2,400,700,2002,8,summer,dry,-154.9301545,19.45222718,0,0,291.05,340.93,314,147,185,305,22.69,22.26,21.88,21.14,26.88,26.01,26.53,25.01,18.5,18.51,17.23,17.26
BRY,s26,co2,400,800,2002,8,summer,dry,-154.9301651,19.45312529,0,0,288.45,241.29,314,147,185,305,22.69,22.27,21.88,21.14,26.88,26.02,26.53,25.01,18.5,18.51,17.23,17.26
BRY,s28,co2,600,100,2002,8,summer,dry,-154.9282531,19.44685457,0,0,281.32,642.94,305,141,178,294,22.81,22.38,22,21.25,26.99,26.12,26.64,25.11,18.62,18.63,17.35,17.38
BRY,s29,co2,600,200,2002,8,summer,dry,-154.9282121,19.44775372,0,0,289.57,701.61,308,143,181,298,22.73,22.3,21.92,21.17,26.92,26.06,26.58,25.05,18.53,18.53,17.26,17.29
BRY,s30,co2,600,300,2002,8,summer,dry,-154.9281699,19.44868017,0,0,286.94,725.11,308,143,181,298,22.73,22.3,21.92,21.17,26.93,26.06,26.58,25.05,18.53,18.53,17.26,17.29
BRY,s31,co2,600,400,2002,8,summer,dry,-154.9282039,19.44955224,0,0,280.37,628.48,308,143,181,298,22.73,22.3,21.92,21.17,26.93,26.06,26.58,25.05,18.53,18.53,17.26,17.29
BRY,s35,co2,600,800,2002,8,summer,dry,-154.9282655,19.4531511,1,1,279.71,229.31,314,147,186,306,22.75,22.32,21.94,21.2,26.92,26.05,26.57,25.06,18.58,18.58,17.31,17.34
BRY,s38,co2,800,200,2002,8,summer,dry,-154.9263179,19.44776895,0,0,275.91,569.69,308,143,182,300,22.81,22.39,22,21.26,26.98,26.12,26.63,25.11,18.64,18.65,17.37,17.4
BRY,s41,co2,800,500,2002,8,summer,dry,-154.9263725,19.45049689,0,0,273.45,514.84,311,145,185,304,22.79,22.36,21.99,21.24,26.96,26.09,26.61,25.09,18.62,18.63,17.36,17.38
BRY,s42,co2,800,600,2002,8,summer,dry,-154.92635,19.45136813,2,1,274.21,418.02,311,145,185,304,22.79,22.36,21.99,21.24,26.96,26.09,26.61,25.09,18.62,18.63,17.36,17.38
BRY,s44,co2,800,800,2002,8,summer,dry,-154.9263703,19.45316688,0,0,275.08,218.46,314,146,187,308,22.77,22.35,21.97,21.23,26.93,26.07,26.59,25.08,18.61,18.62,17.35,17.37
BRY,s45,co2,800,900,2002,8,summer,dry,-154.9264148,19.45408263,0,0,274.59,117.03,314,146,187,308,22.77,22.35,21.97,21.23,26.93,26.07,26.59,25.08,18.61,18.62,17.35,17.37
BRY,s1,co2,0,100,2002,9,fall,dry,-154.933909,19.44681241,1,1,314.62,321.5,167,305,142,176,21.96,22.58,22.15,21.77,26.24,26.83,25.97,26.48,17.67,18.32,18.33,17.05
BRY,s3,co2,0,300,2002,9,fall,dry,-154.933968,19.44857326,1,1,309.54,321.22,170,308,144,178,21.96,22.59,22.16,21.78,26.23,26.83,25.96,26.48,17.69,18.34,18.35,17.07
BRY,s4,co2,0,400,2002,9,fall,dry,-154.9339791,19.44951145,0,0,309.46,303.99,170,308,144,178,21.96,22.59,22.16,21.78,26.23,26.83,25.96,26.48,17.69,18.34,18.35,17.07
BRY,s5,co2,0,500,2002,9,fall,dry,-154.9339901,19.45043386,4,1,309.16,225.5,173,311,146,181,21.96,22.59,22.16,21.77,26.22,26.82,25.95,26.46,17.7,18.35,18.36,17.08
BRY,s6,co2,0,600,2002,9,fall,dry,-154.934019,19.45131096,0,0,308.17,173.68,173,311,146,181,21.96,22.59,22.16,21.78,26.22,26.82,25.95,26.47,17.7,18.35,18.36,17.08
BRY,s11,co2,200,200,2002,9,fall,dry,-154.9320334,19.44769557,5,1,302.1,513.52,169,308,144,179,22.04,22.66,22.23,21.85,26.29,26.88,26.01,26.52,17.78,18.44,18.44,17.17
BRY,s12,co2,200,300,2002,9,fall,dry,-154.9320062,19.44856707,4,1,298.52,519.83,169,308,144,179,22.04,22.66,22.23,21.85,26.29,26.88,26.01,26.52,17.78,18.44,18.44,17.17
BRY,s16,co2,200,700,2002,9,fall,dry,-154.9320967,19.45218842,1,1,299.2,363.31,176,314,147,184,22.04,22.66,22.23,21.85,26.27,26.85,25.99,26.5,17.8,18.46,18.46,17.19
BRY,s17,co2,200,800,2002,9,fall,dry,-154.9321261,19.45309281,0,0,293.88,279.93,176,314,147,184,22.04,22.66,22.23,21.85,26.27,26.85,25.99,26.5,17.8,18.46,18.46,17.19
BRY,s18,co2,200,900,2002,9,fall,dry,-154.9321566,19.45403056,1,1,291,175.68,176,314,147,184,22.04,22.66,22.23,21.85,26.27,26.86,25.99,26.51,17.8,18.46,18.46,17.19
BRY,s19,co2,400,100,2002,9,fall,dry,-154.9301096,19.44682578,0,0,293.57,701.84,165,305,141,178,22.11,22.72,22.3,21.91,26.35,26.93,26.07,26.58,17.86,18.51,18.52,17.24
BRY,s20,co2,400,200,2002,9,fall,dry,-154.9301249,19.44772565,0,0,299.07,714.58,168,308,143,180,22.06,22.68,22.25,21.87,26.31,26.89,26.03,26.54,17.81,18.47,18.47,17.2
BRY,s24,co2,400,600,2002,9,fall,dry,-154.9301438,19.45132542,0,0,292.91,440.97,172,311,145,183,22.07,22.68,22.25,21.87,26.3,26.88,26.02,26.53,17.83,18.48,18.48,17.21
BRY,s25,co2,400,700,2002,9,fall,dry,-154.9301545,19.45222718,0,0,291.05,340.93,175,314,147,185,22.07,22.69,22.26,21.88,26.3,26.88,26.01,26.53,17.84,18.5,18.51,17.23
BRY,s27,co2,400,900,2002,9,fall,dry,-154.9301762,19.45406069,0,0,286.42,137.52,175,314,147,185,22.08,22.69,22.27,21.89,26.3,26.88,26.02,26.53,17.85,18.5,18.51,17.24
BRY,s28,co2,600,100,2002,9,fall,dry,-154.9282531,19.44685457,1,1,281.32,642.94,165,305,141,178,22.19,22.81,22.38,22,26.41,26.99,26.12,26.64,17.97,18.62,18.63,17.35
BRY,s29,co2,600,200,2002,9,fall,dry,-154.9282121,19.44775372,0,0,289.57,701.61,168,308,143,181,22.11,22.73,22.3,21.92,26.34,26.92,26.06,26.58,17.88,18.53,18.53,17.26
BRY,s31,co2,600,400,2002,9,fall,dry,-154.9282039,19.44955224,3,1,280.37,628.48,168,308,143,181,22.12,22.73,22.3,21.92,26.35,26.93,26.06,26.58,17.88,18.53,18.53,17.26
BRY,s34,co2,600,700,2002,9,fall,dry,-154.9282784,19.45222004,0,0,279.66,332.72,174,314,147,186,22.13,22.75,22.32,21.94,26.34,26.91,26.05,26.57,17.92,18.58,18.58,17.31
BRY,s36,co2,600,900,2002,9,fall,dry,-154.9282527,19.45407213,0,0,278,127.02,174,314,147,186,22.13,22.75,22.32,21.94,26.34,26.92,26.05,26.57,17.92,18.58,18.58,17.31
BRY,s38,co2,800,200,2002,9,fall,dry,-154.9263179,19.44776895,0,0,275.91,569.69,167,308,143,182,22.2,22.81,22.39,22,26.41,26.98,26.12,26.63,17.99,18.64,18.65,17.37
BRY,s39,co2,800,300,2002,9,fall,dry,-154.9263322,19.4486997,0,0,275.39,639.85,167,308,143,182,22.2,22.81,22.39,22,26.41,26.98,26.12,26.63,17.99,18.64,18.65,17.37
