site,trap_type,transect,station,year,month,season,rainfall_season,x_long,y_lat,count,Cxpa,elevation,distance,precip,preciplag1,preciplag2,tmean,tmeanlag1,tmeanlag2,tmax,tmaxlag1,tmaxlag2,tmin,tminlag1,tminlag2
BRY,co2,400,200,2002,10,fall,dry,-154.9301249,19.44772565,0,0,299.07,714.58,134,168,308,22.36,22.06,22.68,26.75,26.31,26.89,17.96,17.81,18.47
BRY,co2,600,400,2002,10,fall,dry,-154.9282039,19.44955224,13,1,280.37,628.48,134,168,308,22.4,22.12,22.73,26.78,26.35,26.93,18.02,17.88,18.53
BRY,co2,600,800,2002,10,fall,dry,-154.9282655,19.4531511,0,0,279.71,229.31,140,174,314,22.43,22.13,22.75,26.79,26.34,26.92,18.06,17.92,18.58
BRY,co2,800,200,2002,10,fall,dry,-154.9263179,19.44776895,0,0,275.91,569.69,135,167,308,22.49,22.2,22.81,26.85,26.41,26.98,18.12,17.99,18.64
BRY,co2,0,200,2002,11,fall,wet,-154.9339391,19.44771195,0,0,311.92,312.67,59,134,170,21.22,22.26,21.96,26.1,26.67,26.23,16.33,17.84,17.69
BRY,co2,0,800,2002,11,fall,wet,-154.9340261,19.45311022,0,0,302.37,152.23,60,139,176,21.24,22.28,21.98,26.11,26.67,26.23,16.37,17.88,17.73
BRY,co2,200,600,2002,11,fall,wet,-154.9320956,19.45129325,1,1,300.98,372.34,59,137,172,21.27,22.3,22.01,26.14,26.7,26.26,16.39,17.9,17.75
BRY,co2,200,900,2002,11,fall,wet,-154.9321566,19.45403056,1,1,291,175.68,60,139,176,21.3,22.33,22.04,26.15,26.72,26.27,16.44,17.94,17.8
BRY,co2,400,100,2002,11,fall,wet,-154.9301096,19.44682578,0,0,293.57,701.84,58,131,165,21.36,22.39,22.11,26.22,26.78,26.35,16.49,18,17.86
BRY,co2,400,300,2002,11,fall,wet,-154.930141,19.44866823,0,0,294.63,670.46,59,134,168,21.32,22.36,22.06,26.18,26.75,26.31,16.45,17.96,17.81
BRY,co2,800,200,2002,11,fall,wet,-154.9263179,19.44776895,0,0,275.91,569.69,59,135,167,21.45,22.49,22.2,26.29,26.85,26.41,16.61,18.12,17.99
BRY,co2,800,700,2002,11,fall,wet,-154.9263267,19.45226789,3,1,273.86,318.04,60,140,174,21.42,22.45,22.16,26.25,26.81,26.36,16.59,18.09,17.96
BRY,co2,0,100,2002,12,winter,wet,-154.933909,19.44681241,1,1,314.62,321.5,241,59,132,19.67,21.21,22.25,23.84,26.1,26.67,15.5,16.31,17.82
BRY,co2,200,900,2002,12,winter,wet,-154.9321566,19.45403056,0,0,291,175.68,250,60,139,19.78,21.3,22.33,23.91,26.15,26.72,15.64,16.44,17.94
BRY,co2,400,400,2002,12,winter,wet,-154.9301372,19.44952551,0,0,292.15,627.04,243,59,134,19.78,21.32,22.36,23.92,26.18,26.75,15.64,16.45,17.96
BRY,co2,400,500,2002,12,winter,wet,-154.9301332,19.45042979,0,0,293.16,540.33,247,59,137,19.79,21.32,22.35,23.92,26.18,26.74,15.66,16.46,17.96
BRY,co2,600,100,2002,12,winter,wet,-154.9282531,19.44685457,0,0,281.32,642.94,239,58,131,19.9,21.45,22.48,24.01,26.29,26.85,15.79,16.6,18.11
BRY,co2,600,300,2002,12,winter,wet,-154.9281699,19.44868017,0,0,286.94,725.11,243,59,134,19.83,21.37,22.4,23.96,26.22,26.78,15.7,16.51,18.01
BRY,co2,800,500,2002,12,winter,wet,-154.9263725,19.45049689,1,1,273.45,514.84,245,59,137,19.9,21.44,22.47,24,26.27,26.83,15.8,16.6,18.1
BRY,co2,800,900,2002,12,winter,wet,-154.9264148,19.45408263,1,1,274.59,117.03,249,60,140,19.9,21.42,22.45,24,26.25,26.81,15.79,16.59,18.09
BRY,co2,0,100,2003,1,winter,wet,-154.933909,19.44681241,0,0,314.62,321.5,79,241,59,19.4,19.67,21.21,24.34,23.84,26.1,14.46,15.5,16.31
BRY,co2,200,300,2003,1,winter,wet,-154.9320062,19.44856707,0,0,298.52,519.83,79,244,59,19.49,19.76,21.29,24.41,23.9,26.16,14.57,15.61,16.42
BRY,co2,400,100,2003,1,winter,wet,-154.9301096,19.44682578,0,0,293.57,701.84,78,240,58,19.54,19.82,21.36,24.45,23.95,26.22,14.63,15.69,16.49
BRY,co2,400,600,2003,1,winter,wet,-154.9301438,19.45132542,0,0,292.91,440.97,79,247,59,19.53,19.8,21.32,24.44,23.93,26.18,14.61,15.66,16.46
BRY,co2,600,200,2003,1,winter,wet,-154.9282121,19.44775372,0,0,289.57,701.61,78,243,59,19.56,19.83,21.37,24.46,23.96,26.22,14.65,15.7,16.51
BRY,co2,600,500,2003,1,winter,wet,-154.9282382,19.45043189,2,1,279.56,531,79,246,59,19.61,19.87,21.4,24.5,23.98,26.24,14.71,15.76,16.56
BRY,co2,800,800,2003,1,winter,wet,-154.9263703,19.45316688,0,0,275.08,218.46,79,249,60,19.63,19.89,21.42,24.52,24,26.25,14.74,15.78,16.59
BRY,co2,0,300,2003,2,winter,wet,-154.933968,19.44857326,0,0,309.54,321.22,146,79,244,18.73,19.42,19.69,22.87,24.35,23.85,14.58,14.48,15.52
BRY,co2,200,200,2003,2,winter,wet,-154.9320334,19.44769557,0,0,302.1,513.52,146,79,244,18.8,19.49,19.76,22.92,24.41,23.9,14.67,14.57,15.61
BRY,co2,400,900,2003,2,winter,wet,-154.9301762,19.45406069,0,0,286.42,137.52,148,79,250,18.86,19.55,19.81,22.96,24.45,23.93,14.75,14.64,15.68
BRY,co2,600,400,2003,2,winter,wet,-154.9282039,19.44955224,0,0,280.37,628.48,146,78,243,18.87,19.56,19.83,22.98,24.47,23.96,14.76,14.65,15.7
BRY,co2,600,900,2003,2,winter,wet,-154.9282527,19.45407213,1,1,278,127.02,149,79,249,18.92,19.61,19.87,23.01,24.5,23.98,14.82,14.71,15.75
BRY,co2,800,200,2003,2,winter,wet,-154.9263179,19.44776895,0,0,275.91,569.69,146,78,242,18.96,19.65,19.91,23.04,24.53,24.01,14.87,14.76,15.81
BRY,co2,800,900,2003,2,winter,wet,-154.9264148,19.45408263,0,0,274.59,117.03,149,79,249,18.94,19.63,19.9,23.03,24.52,24,14.85,14.74,15.79
BRY,co2,0,200,2003,3,spring,wet,-154.9339391,19.44771195,2,1,311.92,312.67,58,146,79,20.01,18.73,19.42,24.73,22.87,24.35,15.29,14.58,14.48
BRY,co2,0,400,2003,3,spring,wet,-154.9339791,19.44951145,1,1,309.46,303.99,58,146,79,20.01,18.73,19.42,24.73,22.87,24.36,15.29,14.58,14.48
BRY,co2,200,800,2003,3,spring,wet,-154.9321261,19.45309281,0,0,293.88,279.93,57,148,79,20.11,18.82,19.51,24.8,22.94,24.43,15.41,14.7,14.59
BRY,co2,400,400,2003,3,spring,wet,-154.9301372,19.44952551,0,0,292.15,627.04,58,146,78,20.11,18.82,19.52,24.81,22.94,24.43,15.41,14.7,14.6
BRY,co2,600,100,2003,3,spring,wet,-154.9282531,19.44685457,0,0,281.32,642.94,58,145,78,20.24,18.94,19.63,24.91,23.03,24.51,15.56,14.85,14.74
BRY,co2,600,500,2003,3,spring,wet,-154.9282382,19.45043189,0,0,279.56,531,57,148,79,20.21,18.92,19.61,24.88,23.01,24.5,15.53,14.82,14.71
BRY,co2,800,700,2003,3,spring,wet,-154.9263267,19.45226789,0,0,273.86,318.04,56,149,79,20.23,18.94,19.63,24.89,23.03,24.52,15.56,14.85,14.74
BRY,co2,0,500,2003,4,spring,wet,-154.9339901,19.45043386,0,0,309.16,225.5,219,58,147,19.77,20.02,18.74,23.35,24.74,22.88,16.19,15.3,14.59
BRY,co2,0,700,2003,4,spring,wet,-154.9340494,19.45223084,1,1,305.79,157.81,220,58,148,19.8,20.05,18.77,23.37,24.76,22.9,16.23,15.34,14.63
BRY,co2,0,800,2003,4,spring,wet,-154.9340261,19.45311022,0,0,302.37,152.23,220,58,148,19.8,20.05,18.77,23.37,24.76,22.9,16.23,15.34,14.63
BRY,co2,400,700,2003,4,spring,wet,-154.9301545,19.45222718,0,0,291.05,340.93,218,57,148,19.89,20.14,18.86,23.44,24.83,22.96,16.34,15.45,14.75
BRY,co2,400,900,2003,4,spring,wet,-154.9301762,19.45406069,0,0,286.42,137.52,218,57,148,19.89,20.14,18.86,23.44,24.83,22.96,16.34,15.45,14.75
BRY,co2,600,400,2003,4,spring,wet,-154.9282039,19.44955224,0,0,280.37,628.48,214,57,146,19.92,20.16,18.87,23.47,24.85,22.98,16.36,15.47,14.76
BRY,co2,600,600,2003,4,spring,wet,-154.9282589,19.4513514,0,0,279.72,429.04,215,57,148,19.96,20.21,18.92,23.5,24.88,23.01,16.42,15.53,14.82
BRY,co2,0,700,2003,5,spring,dry,-154.9340494,19.45223084,0,0,305.79,157.81,121,220,58,21,19.8,20.05,25.54,23.37,24.76,16.45,16.23,15.34
BRY,co2,0,800,2003,5,spring,dry,-154.9340261,19.45311022,0,0,302.37,152.23,121,220,58,21,19.8,20.05,25.54,23.37,24.76,16.45,16.23,15.34
BRY,co2,200,200,2003,5,spring,dry,-154.9320334,19.44769557,0,0,302.1,513.52,118,216,58,21.04,19.84,20.09,25.59,23.41,24.79,16.49,16.27,15.38
BRY,co2,400,900,2003,5,spring,dry,-154.9301762,19.45406069,0,0,286.42,137.52,122,218,57,21.09,19.89,20.14,25.61,23.44,24.83,16.56,16.34,15.45
BRY,co2,600,600,2003,5,spring,dry,-154.9282589,19.4513514,0,0,279.72,429.04,120,215,57,21.16,19.96,20.21,25.67,23.5,24.88,16.64,16.42,15.53
BRY,co2,600,700,2003,5,spring,dry,-154.9282784,19.45222004,2,1,279.66,332.72,122,217,57,21.14,19.95,20.2,25.65,23.48,24.87,16.63,16.42,15.52
BRY,co2,800,400,2003,5,spring,dry,-154.9263517,19.44956863,0,0,273.04,596.38,119,213,57,21.2,20.01,20.25,25.71,23.54,24.91,16.69,16.47,15.58
BRY,co2,800,900,2003,5,spring,dry,-154.9264148,19.45408263,0,0,274.59,117.03,122,216,56,21.17,19.98,20.23,25.67,23.51,24.89,16.66,16.45,15.56
BRY,co2,0,200,2003,6,summer,dry,-154.9339391,19.44771195,0,0,311.92,312.67,146,118,217,21.91,20.98,19.77,26.58,25.54,23.35,17.24,16.41,16.18
BRY,co2,0,500,2003,6,summer,dry,-154.9339901,19.45043386,0,0,309.16,225.5,147,119,219,21.91,20.97,19.77,26.57,25.53,23.35,17.25,16.41,16.19
BRY,co2,200,400,2003,6,summer,dry,-154.9320509,19.44949421,0,0,299.34,451.37,146,118,216,21.99,21.04,19.84,26.64,25.59,23.41,17.33,16.49,16.27
BRY,co2,400,200,2003,6,summer,dry,-154.9301249,19.44772565,0,0,299.07,714.58,146,118,215,22.01,21.07,19.87,26.65,25.61,23.44,17.36,16.52,16.3
BRY,co2,400,300,2003,6,summer,dry,-154.930141,19.44866823,0,0,294.63,670.46,146,118,215,22.01,21.07,19.87,26.66,25.61,23.44,17.36,16.52,16.3
BRY,co2,800,200,2003,6,summer,dry,-154.9263179,19.44776895,0,0,275.91,569.69,146,119,213,22.15,21.2,20.01,26.75,25.71,23.54,17.54,16.69,16.47
BRY,co2,800,700,2003,6,summer,dry,-154.9263267,19.45226789,0,0,273.86,318.04,149,122,216,22.11,21.17,19.98,26.7,25.67,23.51,17.51,16.66,16.45
BRY,co2,0,800,2003,7,summer,dry,-154.9340261,19.45311022,0,0,302.37,152.23,258,148,121,22.5,21.94,21,26.57,26.58,25.54,18.42,17.29,16.45
BRY,co2,200,500,2003,7,summer,dry,-154.9320946,19.45039987,0,0,301.2,399.15,255,147,120,22.53,21.96,21.02,26.6,26.61,25.57,18.45,17.31,16.47
BRY,co2,200,800,2003,7,summer,dry,-154.9321261,19.45309281,0,0,293.88,279.93,258,148,121,22.55,21.99,21.05,26.61,26.62,25.58,18.49,17.36,16.51
BRY,co2,400,900,2003,7,summer,dry,-154.9301762,19.45406069,0,0,286.42,137.52,258,149,122,22.59,22.02,21.09,26.64,26.64,25.61,18.54,17.4,16.56
BRY,co2,800,200,2003,7,summer,dry,-154.9263179,19.44776895,0,0,275.91,569.69,251,146,119,22.71,22.15,21.2,26.74,26.75,25.71,18.68,17.54,16.69
BRY,co2,800,300,2003,7,summer,dry,-154.9263322,19.4486997,0,0,275.39,639.85,251,146,119,22.71,22.15,21.2,26.74,26.75,25.71,18.68,17.54,16.69
BRY,co2,800,700,2003,7,summer,dry,-154.9263267,19.45226789,2,1,273.86,318.04,259,149,122,22.67,22.11,21.17,26.69,26.7,25.67,18.65,17.51,16.66
BRY,co2,0,800,2003,8,summer,dry,-154.9340261,19.45311022,0,0,302.37,152.23,191,258,148,22.78,22.5,21.94,27.04,26.57,26.58,18.52,18.42,17.29
BRY,co2,200,600,2003,8,summer,dry,-154.9320956,19.45129325,0,0,300.98,372.34,189,255,147,22.81,22.53,21.96,27.07,26.6,26.61,18.55,18.45,17.31
BRY,co2,200,700,2003,8,summer,dry,-154.9320967,19.45218842,0,0,299.2,363.31,190,258,148,22.84,22.55,21.99,27.08,26.61,26.62,18.59,18.49,17.35
BRY,co2,200,900,2003,8,summer,dry,-154.9321566,19.45403056,0,0,291,175.68,190,258,148,22.84,22.55,21.99,27.08,26.61,26.62,18.59,18.49,17.36
BRY,co2,400,100,2003,8,summer,dry,-154.9301096,19.44682578,0,0,293.57,701.84,184,248,145,22.91,22.62,22.05,27.16,26.69,26.69,18.65,18.55,17.41
BRY,co2,400,200,2003,8,summer,dry,-154.9301249,19.44772565,0,0,299.07,714.58,186,251,146,22.86,22.58,22.01,27.12,26.65,26.65,18.6,18.5,17.36
BRY,co2,400,500,2003,8,summer,dry,-154.9301332,19.45042979,0,0,293.16,540.33,188,255,148,22.86,22.58,22.02,27.11,26.64,26.65,18.61,18.52,17.38
BRY,co2,0,600,2003,9,fall,dry,-154.934019,19.45131096,0,0,308.17,173.68,187,189,255,22.68,22.77,22.48,27.31,27.04,26.57,18.04,18.49,18.39
BRY,co2,0,900,2003,9,fall,dry,-154.9340034,19.4539657,0,0,296.9,169.66,189,191,258,22.7,22.78,22.5,27.32,27.04,26.57,18.08,18.52,18.42
BRY,co2,200,500,2003,9,fall,dry,-154.9320946,19.45039987,0,0,301.2,399.15,186,189,255,22.73,22.81,22.53,27.35,27.07,26.6,18.1,18.55,18.45
BRY,co2,200,800,2003,9,fall,dry,-154.9321261,19.45309281,0,0,293.88,279.93,189,190,258,22.75,22.84,22.55,27.36,27.08,26.61,18.14,18.59,18.49
BRY,co2,400,200,2003,9,fall,dry,-154.9301249,19.44772565,0,0,299.07,714.58,183,186,251,22.78,22.86,22.58,27.4,27.12,26.65,18.16,18.6,18.5
BRY,co2,400,500,2003,9,fall,dry,-154.9301332,19.45042979,1,1,293.16,540.33,186,188,255,22.78,22.86,22.58,27.39,27.11,26.64,18.17,18.61,18.52
BRY,co2,400,600,2003,9,fall,dry,-154.9301438,19.45132542,2,1,292.91,440.97,186,188,255,22.78,22.86,22.58,27.39,27.11,26.64,18.17,18.61,18.52
BRY,co2,600,700,2003,9,fall,dry,-154.9282784,19.45222004,3,1,279.66,332.72,188,189,258,22.85,22.93,22.64,27.43,27.14,26.67,18.27,18.71,18.61
BRY,co2,800,300,2003,9,fall,dry,-154.9263322,19.4486997,4,1,275.39,639.85,182,185,251,22.92,22.99,22.71,27.5,27.2,26.74,18.33,18.77,18.68
BRY,co2,800,700,2003,9,fall,dry,-154.9263267,19.45226789,4,1,273.86,318.04,188,188,259,22.88,22.96,22.67,27.45,27.16,26.69,18.3,18.75,18.65
BRY,co2,800,800,2003,9,fall,dry,-154.9263703,19.45316688,0,0,275.08,218.46,188,188,259,22.88,22.96,22.67,27.45,27.16,26.69,18.3,18.75,18.65
BRY,co2,0,600,2003,10,fall,dry,-154.934019,19.45131096,0,0,308.17,173.68,101,187,189,22.92,22.68,22.77,27.94,27.31,27.04,17.89,18.04,18.49
BRY,co2,200,400,2003,10,fall,dry,-154.9320509,19.44949421,0,0,299.34,451.37,100,183,187,22.99,22.76,22.84,28,27.38,27.1,17.97,18.13,18.57
BRY,co2,200,900,2003,10,fall,dry,-154.9321566,19.45403056,0,0,291,175.68,103,189,190,22.99,22.76,22.84,27.99,27.36,27.08,17.99,18.15,18.59
BRY,co2,400,200,2003,10,fall,dry,-154.9301249,19.44772565,0,0,299.07,714.58,100,183,186,23.01,22.78,22.86,28.02,27.4,27.12,18,18.16,18.6
BRY,co2,400,600,2003,10,fall,dry,-154.9301438,19.45132542,0,0,292.91,440.97,102,186,188,23.02,22.78,22.86,28.02,27.39,27.11,18.01,18.17,18.61
BRY,co2,400,700,2003,10,fall,dry,-154.9301545,19.45222718,1,1,291.05,340.93,103,189,190,23.03,22.79,22.87,28.02,27.39,27.1,18.03,18.19,18.64
BRY,co2,600,100,2003,10,fall,dry,-154.9282531,19.44685457,0,0,281.32,642.94,98,179,184,23.14,22.91,22.99,28.12,27.5,27.21,18.15,18.32,18.76
BRY,co2,600,300,2003,10,fall,dry,-154.9281699,19.44868017,0,0,286.94,725.11,100,182,186,23.06,22.83,22.91,28.06,27.43,27.15,18.06,18.22,18.66
BRY,co2,600,400,2003,10,fall,dry,-154.9282039,19.44955224,0,0,280.37,628.48,100,182,186,23.06,22.83,22.91,28.06,27.43,27.15,18.06,18.22,18.66
BRY,co2,800,500,2003,10,fall,dry,-154.9263725,19.45049689,0,0,273.45,514.84,102,185,187,23.13,22.9,22.97,28.1,27.47,27.18,18.15,18.32,18.76
BRY,co2,800,600,2003,10,fall,dry,-154.92635,19.45136813,1,1,274.21,418.02,102,185,187,23.13,22.9,22.97,28.1,27.47,27.18,18.15,18.32,18.76
BRY,co2,800,900,2003,10,fall,dry,-154.9264148,19.45408263,2,1,274.59,117.03,104,188,188,23.11,22.88,22.96,28.08,27.45,27.16,18.14,18.3,18.75
BRY,co2,0,300,2003,11,fall,wet,-154.933968,19.44857326,3,1,309.54,321.22,240,100,184,20.67,22.92,22.68,24.46,27.95,27.32,16.88,17.88,18.04
BRY,co2,0,600,2003,11,fall,wet,-154.934019,19.45131096,0,0,308.17,173.68,243,101,187,20.67,22.92,22.68,24.45,27.94,27.31,16.89,17.89,18.04
BRY,co2,0,800,2003,11,fall,wet,-154.9340261,19.45311022,0,0,302.37,152.23,245,103,189,20.7,22.94,22.7,24.47,27.95,27.32,16.92,17.92,18.08
BRY,co2,200,500,2003,11,fall,wet,-154.9320946,19.45039987,0,0,301.2,399.15,241,101,186,20.72,22.96,22.73,24.49,27.98,27.35,16.94,17.94,18.1
BRY,co2,200,800,2003,11,fall,wet,-154.9321261,19.45309281,0,0,293.88,279.93,243,103,189,20.75,22.99,22.75,24.51,27.99,27.36,16.99,17.98,18.14
BRY,co2,400,100,2003,11,fall,wet,-154.9301096,19.44682578,0,0,293.57,701.84,233,98,179,20.81,23.06,22.83,24.57,28.06,27.44,17.04,18.05,18.21
BRY,co2,400,900,2003,11,fall,wet,-154.9301762,19.45406069,0,0,286.42,137.52,241,103,189,20.79,23.03,22.79,24.54,28.02,27.39,17.03,18.03,18.19
BRY,co2,600,400,2003,11,fall,wet,-154.9282039,19.44955224,0,0,280.37,628.48,234,100,182,20.82,23.06,22.83,24.58,28.06,27.43,17.06,18.06,18.22
BRY,co2,0,500,2003,12,winter,wet,-154.9339901,19.45043386,0,0,309.16,225.5,266,243,101,19.91,20.67,22.92,23.61,24.45,27.94,16.21,16.89,17.89
BRY,co2,0,900,2003,12,winter,wet,-154.9340034,19.4539657,0,0,296.9,169.66,269,245,103,19.94,20.7,22.94,23.63,24.47,27.95,16.25,16.92,17.92
BRY,co2,400,500,2003,12,winter,wet,-154.9301332,19.45042979,0,0,293.16,540.33,266,239,102,20.01,20.78,23.02,23.68,24.54,28.02,16.34,17.01,18.01
BRY,co2,600,100,2003,12,winter,wet,-154.9282531,19.44685457,0,0,281.32,642.94,257,232,98,20.12,20.9,23.14,23.76,24.64,28.12,16.47,17.15,18.15
BRY,co2,600,300,2003,12,winter,wet,-154.9281699,19.44868017,0,0,286.94,725.11,262,234,100,20.05,20.82,23.06,23.71,24.58,28.06,16.38,17.06,18.06
